Date,User,Message
2026-05-30 10:00,홍길동,이번 주말 정기모임 장소 정해야 할 것 같아요
2026-05-30 10:02,김철수,저는 강남역 근처가 좋습니다
2026-05-30 10:03,이영희,저는 홍대도 괜찮아요 다만 주차가 좀
2026-05-30 10:05,박민수,저번에 갔던 카페 어땠나요? 거기 분위기 좋았는데
2026-05-30 10:10,홍길동,그럼 방장님이 투표 올려주실 수 있을까요?
2026-05-30 10:15,최영수,근데 저번 회비 정산은 어떻게 됐나요? 영수증 공유 부탁드려요
2026-05-30 10:20,김철수,아 맞다 다음 모임 회비 얼마인가요?
2026-05-30 10:25,이영희,참석 가능한 사람 수 빨리 파악해야 예약 가능해요
2026-05-30 10:30,박민수,저는 가능합니다
2026-05-30 10:32,최영수,저도 갑니다
2026-05-30 11:00,홍길동,두 분이서 자꾸 싸우시는데 좀 진정하시고 본론으로 돌아가요
2026-05-30 11:05,김철수,죄송합니다 제가 좀 흥분했네요
